"","Sigma","Type","M","Participant","Graph.Type","Error","Error..unsigned.","Index","Filepath","isValidation"
"25",0.15,"trig",-0.8,"P1","area",-0.1,0.1,25,"img/trig/area/s0.15m-0.8/",0
"26",0.1,"line",0.8,"P1","scatter",0.18,0.18,26,"img/line/scatter/s0.1m0.8/",0
"27",0.05,"quad",0.8,"P1","line",-0.05,0.05,27,"img/quad/line/s0.05m0.8/",0
"28",0.1,"line",0.2,"P1","area",0.19,0.19,28,"img/line/area/s0.1m0.2/",0
"29",0.2,"trig",-0.8,"P1","area",-0.21,0.21,29,"img/trig/area/s0.2m-0.8/",0
"30",0.1,"quad",0.8,"P1","area",0.04,0.04,30,"img/quad/area/s0.1m0.8/",0
"31",0.1,"trig",-0.2,"P1","line",-0.03,0.03,31,"img/trig/line/s0.1m-0.2/",0
"32",0.15,"line",-0.1,"P1","area",-0.02,0.02,32,"img/line/area/s0.15m-0.1/",0
"33",0.2,"quad",0.4,"P1","scatter",0.29,0.29,33,"img/quad/scatter/s0.2m0.4/",0
"34",0.05,"line",0.2,"P1","line",0.04,0.04,34,"img/line/line/s0.05m0.2/",0
"35",0.15,"trig",-0.4,"P1","area",-0.38,0.38,35,"img/trig/area/s0.15m-0.4/",0
"36",0.1,"quad",0.4,"P1","area",0.15,0.15,36,"img/quad/area/s0.1m0.4/",0
"37",0.1,"trig",0.4,"P1","line",0.15,0.15,37,"img/trig/line/s0.1m0.4/",0
"38",0.15,"line",-0.8,"P1","scatter",-0.1,0.1,39,"img/line/scatter/s0.15m-0.8/",0
"39",0.05,"quad",-0.4,"P1","scatter",-0.04,0.04,40,"img/quad/scatter/s0.05m-0.4/",0
"40",0.2,"line",-0.2,"P1","area",0.12,0.12,41,"img/line/area/s0.2m-0.2/",0
"41",0.2,"trig",0.8,"P1","scatter",0.32,0.32,42,"img/trig/scatter/s0.2m0.8/",0
"42",0.15,"quad",0.2,"P1","area",0.23,0.23,43,"img/quad/area/s0.15m0.2/",0
"43",0.2,"trig",0.4,"P1","line",0.23,0.23,44,"img/trig/line/s0.2m0.4/",0
"44",0.15,"line",0.1,"P1","line",0.03,0.03,45,"img/line/line/s0.15m0.1/",0
"45",0.2,"quad",0.8,"P1","line",0.09,0.09,46,"img/quad/line/s0.2m0.8/",0
"46",0.15,"line",0.4,"P1","line",0.12,0.12,47,"img/line/line/s0.15m0.4/",0
"47",0.05,"trig",-0.8,"P1","scatter",-0.04,0.04,48,"img/trig/scatter/s0.05m-0.8/",0
"48",0.05,"quad",-0.4,"P1","area",0,0,49,"img/quad/area/s0.05m-0.4/",0
"49",0.1,"trig",-0.2,"P1","scatter",-0.1,0.1,50,"img/trig/scatter/s0.1m-0.2/",0
"50",0.15,"line",0.8,"P1","area",0.02,0.02,51,"img/line/area/s0.15m0.8/",0
"51",0.2,"quad",0.1,"P1","line",0.23,0.23,52,"img/quad/line/s0.2m0.1/",0
"52",0.1,"line",-0.8,"P1","scatter",0.08,0.08,53,"img/line/scatter/s0.1m-0.8/",0
"53",0.2,"trig",-0.8,"P1","line",0.11,0.11,54,"img/trig/line/s0.2m-0.8/",0
"54",0.2,"quad",0.1,"P1","area",0.19,0.19,55,"img/quad/area/s0.2m0.1/",0
"55",0.05,"trig",-0.2,"P1","area",-0.08,0.08,56,"img/trig/area/s0.05m-0.2/",0
"56",0.2,"line",-0.2,"P1","scatter",0.49,0.49,58,"img/line/scatter/s0.2m-0.2/",0
"57",0.1,"quad",-0.4,"P1","scatter",-0.08,0.08,59,"img/quad/scatter/s0.1m-0.4/",0
"58",0.2,"line",0.8,"P1","area",-0.01,0.01,60,"img/line/area/s0.2m0.8/",0
"59",0.15,"trig",-0.2,"P1","scatter",-0.11,0.11,61,"img/trig/scatter/s0.15m-0.2/",0
"60",0.1,"quad",-0.8,"P1","line",-0.18,0.18,62,"img/quad/line/s0.1m-0.8/",0
"61",0.1,"trig",0.2,"P1","line",0.04,0.04,63,"img/trig/line/s0.1m0.2/",0
"62",0.1,"line",-0.8,"P1","area",-0.02,0.02,64,"img/line/area/s0.1m-0.8/",0
"63",0.05,"quad",-0.4,"P1","line",-0.03,0.03,65,"img/quad/line/s0.05m-0.4/",0
"64",0.05,"line",-0.1,"P1","scatter",0.02,0.02,66,"img/line/scatter/s0.05m-0.1/",0
"65",0.1,"trig",-0.1,"P1","scatter",-0.08,0.08,67,"img/trig/scatter/s0.1m-0.1/",0
"66",0.15,"quad",0.2,"P1","line",0.07,0.07,68,"img/quad/line/s0.15m0.2/",0
"67",0.05,"trig",0.4,"P1","area",-0.02,0.02,69,"img/trig/area/s0.05m0.4/",0
"68",0.15,"line",0.8,"P1","scatter",0.32,0.32,70,"img/line/scatter/s0.15m0.8/",0
"69",0.1,"quad",-0.4,"P1","line",-0.02,0.02,71,"img/quad/line/s0.1m-0.4/",0
"70",0.15,"line",-0.4,"P1","line",0.01,0.01,72,"img/line/line/s0.15m-0.4/",0
"71",0.1,"trig",-0.4,"P1","area",-0.01,0.01,73,"img/trig/area/s0.1m-0.4/",0
"72",0.2,"quad",0.2,"P1","area",0.46,0.46,74,"img/quad/area/s0.2m0.2/",0
"73",0.15,"trig",0.1,"P1","area",0.1,0.1,75,"img/trig/area/s0.15m0.1/",0
"74",0.2,"line",-0.4,"P1","area",-0.22,0.22,77,"img/line/area/s0.2m-0.4/",0
"75",0.1,"quad",0.8,"P1","line",0.16,0.16,78,"img/quad/line/s0.1m0.8/",0
"76",0.15,"line",0.1,"P1","scatter",0.28,0.28,79,"img/line/scatter/s0.15m0.1/",0
"77",0.2,"trig",0.1,"P1","scatter",-0.35,0.35,80,"img/trig/scatter/s0.2m0.1/",0
"78",0.2,"quad",-0.1,"P1","scatter",-0.13,0.13,81,"img/quad/scatter/s0.2m-0.1/",0
"79",0.05,"trig",-0.2,"P1","scatter",0.02,0.02,82,"img/trig/scatter/s0.05m-0.2/",0
"80",0.15,"line",-0.1,"P1","line",-0.13,0.13,83,"img/line/line/s0.15m-0.1/",0
"81",0.05,"quad",0.4,"P1","line",0.14,0.14,84,"img/quad/line/s0.05m0.4/",0
"82",0.15,"line",-0.2,"P1","area",0.1,0.1,85,"img/line/area/s0.15m-0.2/",0
"83",0.05,"trig",-0.2,"P1","line",-0.01,0.01,86,"img/trig/line/s0.05m-0.2/",0
"84",0.05,"quad",0.4,"P1","scatter",0.08,0.08,87,"img/quad/scatter/s0.05m0.4/",0
"85",0.15,"trig",-0.1,"P1","scatter",-0.23,0.23,88,"img/trig/scatter/s0.15m-0.1/",0
"86",0.15,"line",0.8,"P1","line",0.1,0.1,89,"img/line/line/s0.15m0.8/",0
"87",0.1,"quad",0.4,"P1","scatter",-0.04,0.04,90,"img/quad/scatter/s0.1m0.4/",0
"88",0.15,"line",0.4,"P1","area",0.03,0.03,91,"img/line/area/s0.15m0.4/",0
"89",0.05,"trig",0.8,"P1","area",0.03,0.03,92,"img/trig/area/s0.05m0.8/",0
"90",0.15,"quad",-0.4,"P1","scatter",-0.09,0.09,93,"img/quad/scatter/s0.15m-0.4/",0
"91",0.2,"trig",0.4,"P1","area",0.09,0.09,94,"img/trig/area/s0.2m0.4/",0
"92",0.1,"line",0.1,"P1","scatter",-0.31,0.31,95,"img/line/scatter/s0.1m0.1/",0
"93",0.05,"quad",0.1,"P1","area",0.06,0.06,96,"img/quad/area/s0.05m0.1/",0
"94",0.15,"line",-0.2,"P1","line",-0.27,0.27,97,"img/line/line/s0.15m-0.2/",0
"95",0.2,"trig",0.2,"P1","line",0.08,0.08,98,"img/trig/line/s0.2m0.2/",0
"96",0.2,"quad",-0.4,"P1","scatter",-0.02,0.02,99,"img/quad/scatter/s0.2m-0.4/",0
"97",0.05,"quad",-0.8,"P2","line",-0.01,0.01,0,"img/quad/line/s0.05m-0.8/",0
"98",0.05,"trig",0.2,"P2","area",-0.01,0.01,1,"img/trig/area/s0.05m0.2/",0
"99",0.1,"line",-0.1,"P2","area",0.07,0.07,2,"img/line/area/s0.1m-0.1/",0
"100",0.05,"trig",-0.1,"P2","area",0.04,0.04,3,"img/trig/area/s0.05m-0.1/",0
"101",0.1,"quad",0.1,"P2","line",-0.05,0.05,4,"img/quad/line/s0.1m0.1/",0
"102",0.15,"line",0.2,"P2","scatter",0.03,0.03,5,"img/line/scatter/s0.15m0.2/",0
"103",0.2,"quad",-0.1,"P2","area",-0.03,0.03,6,"img/quad/area/s0.2m-0.1/",0
"104",0.2,"trig",0.2,"P2","scatter",0.17,0.17,7,"img/trig/scatter/s0.2m0.2/",0
"105",0.05,"line",0.1,"P2","scatter",0.03,0.03,8,"img/line/scatter/s0.05m0.1/",0
"106",0.05,"trig",-0.1,"P2","line",-0.02,0.02,9,"img/trig/line/s0.05m-0.1/",0
"107",0.05,"quad",0.1,"P2","line",0.03,0.03,10,"img/quad/line/s0.05m0.1/",0
"108",0.15,"line",0.4,"P2","scatter",0.2,0.2,11,"img/line/scatter/s0.15m0.4/",0
"109",0.2,"quad",-0.1,"P2","line",-0.07,0.07,12,"img/quad/line/s0.2m-0.1/",0
"110",0.1,"trig",0.1,"P2","area",-0.02,0.02,13,"img/trig/area/s0.1m0.1/",0
"111",0.1,"line",-0.2,"P2","area",-0.04,0.04,14,"img/line/area/s0.1m-0.2/",0
"112",0.2,"trig",-0.4,"P2","line",-0.23,0.23,15,"img/trig/line/s0.2m-0.4/",0
"113",0.2,"quad",-0.2,"P2","line",-0.17,0.17,16,"img/quad/line/s0.2m-0.2/",0
"114",0.05,"line",0.2,"P2","scatter",0.03,0.03,17,"img/line/scatter/s0.05m0.2/",0
"115",0.1,"quad",-0.1,"P2","line",-0.08,0.08,18,"img/quad/line/s0.1m-0.1/",0
"116",0.1,"trig",0.2,"P2","scatter",0.04,0.04,20,"img/trig/scatter/s0.1m0.2/",0
"117",0.2,"line",-0.8,"P2","scatter",0.16,0.16,21,"img/line/scatter/s0.2m-0.8/",0
"118",0.15,"trig",-0.8,"P2","line",-0.16,0.16,22,"img/trig/line/s0.15m-0.8/",0
"119",0.05,"quad",0.8,"P2","scatter",0,0,23,"img/quad/scatter/s0.05m0.8/",0
"120",0.05,"line",-0.8,"P2","area",0.02,0.02,24,"img/line/area/s0.05m-0.8/",0
"121",0.15,"quad",-0.8,"P2","area",-0.01,0.01,25,"img/quad/area/s0.15m-0.8/",0
"122",0.1,"trig",0.8,"P2","scatter",0.03,0.03,26,"img/trig/scatter/s0.1m0.8/",0
"123",0.05,"line",0.8,"P2","line",-0.01,0.01,27,"img/line/line/s0.05m0.8/",0
"124",0.1,"trig",0.2,"P2","area",-0.08,0.08,28,"img/trig/area/s0.1m0.2/",0
"125",0.2,"quad",-0.8,"P2","area",-0.02,0.02,29,"img/quad/area/s0.2m-0.8/",0
"126",0.1,"line",0.8,"P2","area",0.03,0.03,30,"img/line/area/s0.1m0.8/",0
"127",0.1,"quad",-0.2,"P2","line",-0.02,0.02,31,"img/quad/line/s0.1m-0.2/",0
"128",0.15,"trig",-0.1,"P2","area",0.02,0.02,32,"img/trig/area/s0.15m-0.1/",0
"129",0.2,"line",0.4,"P2","scatter",0.18,0.18,33,"img/line/scatter/s0.2m0.4/",0
"130",0.05,"trig",0.2,"P2","line",0,0,34,"img/trig/line/s0.05m0.2/",0
"131",0.15,"quad",-0.4,"P2","area",0.09,0.09,35,"img/quad/area/s0.15m-0.4/",0
"132",0.1,"line",0.4,"P2","area",-0.02,0.02,36,"img/line/area/s0.1m0.4/",0
"133",0.1,"quad",0.4,"P2","line",-0.02,0.02,37,"img/quad/line/s0.1m0.4/",0
"134",0.15,"trig",-0.8,"P2","scatter",-0.21,0.21,39,"img/trig/scatter/s0.15m-0.8/",0
"135",0.05,"line",-0.4,"P2","scatter",-0.02,0.02,40,"img/line/scatter/s0.05m-0.4/",0
"136",0.2,"trig",-0.2,"P2","area",-0.12,0.12,41,"img/trig/area/s0.2m-0.2/",0
"137",0.2,"quad",0.8,"P2","scatter",-0.08,0.08,42,"img/quad/scatter/s0.2m0.8/",0
"138",0.15,"line",0.2,"P2","area",-0.08,0.08,43,"img/line/area/s0.15m0.2/",0
"139",0.2,"quad",0.4,"P2","line",0.03,0.03,44,"img/quad/line/s0.2m0.4/",0
"140",0.15,"trig",0.1,"P2","line",0.03,0.03,45,"img/trig/line/s0.15m0.1/",0
"141",0.2,"line",0.8,"P2","line",-0.11,0.11,46,"img/line/line/s0.2m0.8/",0
"142",0.15,"trig",0.4,"P2","line",-0.04,0.04,47,"img/trig/line/s0.15m0.4/",0
"143",0.05,"quad",-0.8,"P2","scatter",-0.02,0.02,48,"img/quad/scatter/s0.05m-0.8/",0
"144",0.05,"line",-0.4,"P2","area",-0.01,0.01,49,"img/line/area/s0.05m-0.4/",0
"145",0.1,"quad",-0.2,"P2","scatter",-0.16,0.16,50,"img/quad/scatter/s0.1m-0.2/",0
"146",0.15,"trig",0.8,"P2","area",0,0,51,"img/trig/area/s0.15m0.8/",0
"147",0.2,"line",0.1,"P2","line",-0.05,0.05,52,"img/line/line/s0.2m0.1/",0
"148",0.1,"trig",-0.8,"P2","scatter",-0.04,0.04,53,"img/trig/scatter/s0.1m-0.8/",0
"149",0.2,"quad",-0.8,"P2","line",-0.1,0.1,54,"img/quad/line/s0.2m-0.8/",0
"150",0.2,"line",0.1,"P2","area",-0.08,0.08,55,"img/line/area/s0.2m0.1/",0
"151",0.05,"quad",-0.2,"P2","area",-0.06,0.06,56,"img/quad/area/s0.05m-0.2/",0
"152",0.2,"trig",-0.2,"P2","scatter",-0.14,0.14,58,"img/trig/scatter/s0.2m-0.2/",0
"153",0.1,"line",-0.4,"P2","scatter",0.05,0.05,59,"img/line/scatter/s0.1m-0.4/",0
"154",0.2,"trig",0.8,"P2","area",-0.12,0.12,60,"img/trig/area/s0.2m0.8/",0
"155",0.15,"quad",-0.2,"P2","scatter",-0.06,0.06,61,"img/quad/scatter/s0.15m-0.2/",0
"156",0.1,"line",-0.8,"P2","line",0.02,0.02,62,"img/line/line/s0.1m-0.8/",0
"157",0.1,"quad",0.2,"P2","line",0.02,0.02,63,"img/quad/line/s0.1m0.2/",0
"158",0.1,"trig",-0.8,"P2","area",-0.03,0.03,64,"img/trig/area/s0.1m-0.8/",0
"159",0.05,"line",-0.4,"P2","line",-0.02,0.02,65,"img/line/line/s0.05m-0.4/",0
"160",0.05,"trig",-0.1,"P2","scatter",0.01,0.01,66,"img/trig/scatter/s0.05m-0.1/",0
"161",0.1,"quad",-0.1,"P2","scatter",-0.02,0.02,67,"img/quad/scatter/s0.1m-0.1/",0
"162",0.15,"line",0.2,"P2","line",0.01,0.01,68,"img/line/line/s0.15m0.2/",0
"163",0.05,"quad",0.4,"P2","area",0.01,0.01,69,"img/quad/area/s0.05m0.4/",0
"164",0.15,"trig",0.8,"P2","scatter",0.06,0.06,70,"img/trig/scatter/s0.15m0.8/",0
"165",0.1,"line",-0.4,"P2","line",0.04,0.04,71,"img/line/line/s0.1m-0.4/",0
"166",0.15,"trig",-0.4,"P2","line",-0.04,0.04,72,"img/trig/line/s0.15m-0.4/",0
"167",0.1,"quad",-0.4,"P2","area",0.11,0.11,73,"img/quad/area/s0.1m-0.4/",0
"168",0.2,"line",0.2,"P2","area",0.14,0.14,74,"img/line/area/s0.2m0.2/",0
"169",0.15,"quad",0.1,"P2","area",0.11,0.11,75,"img/quad/area/s0.15m0.1/",0
"170",0.2,"trig",-0.4,"P2","area",-0.05,0.05,77,"img/trig/area/s0.2m-0.4/",0
"171",0.1,"line",0.8,"P2","line",-0.04,0.04,78,"img/line/line/s0.1m0.8/",0
"172",0.15,"trig",0.1,"P2","scatter",0.08,0.08,79,"img/trig/scatter/s0.15m0.1/",0
"173",0.2,"quad",0.1,"P2","scatter",-0.02,0.02,80,"img/quad/scatter/s0.2m0.1/",0
"174",0.2,"line",-0.1,"P2","scatter",-0.05,0.05,81,"img/line/scatter/s0.2m-0.1/",0
"175",0.05,"quad",-0.2,"P2","scatter",-0.04,0.04,82,"img/quad/scatter/s0.05m-0.2/",0
"176",0.15,"trig",-0.1,"P2","line",-0.04,0.04,83,"img/trig/line/s0.15m-0.1/",0
"177",0.05,"line",0.4,"P2","line",0.02,0.02,84,"img/line/line/s0.05m0.4/",0
"178",0.15,"trig",-0.2,"P2","area",-0.06,0.06,85,"img/trig/area/s0.15m-0.2/",0
"179",0.05,"quad",-0.2,"P2","line",-0.06,0.06,86,"img/quad/line/s0.05m-0.2/",0
"180",0.05,"line",0.4,"P2","scatter",0.04,0.04,87,"img/line/scatter/s0.05m0.4/",0
"181",0.15,"quad",-0.1,"P2","scatter",-0.13,0.13,88,"img/quad/scatter/s0.15m-0.1/",0
"182",0.15,"trig",0.8,"P2","line",0.07,0.07,89,"img/trig/line/s0.15m0.8/",0
"183",0.1,"line",0.4,"P2","scatter",0.01,0.01,90,"img/line/scatter/s0.1m0.4/",0
"184",0.15,"trig",0.4,"P2","area",0.12,0.12,91,"img/trig/area/s0.15m0.4/",0
"185",0.05,"quad",0.8,"P2","area",0,0,92,"img/quad/area/s0.05m0.8/",0
"186",0.15,"line",-0.4,"P2","scatter",-0.14,0.14,93,"img/line/scatter/s0.15m-0.4/",0
"187",0.2,"quad",0.4,"P2","area",0.18,0.18,94,"img/quad/area/s0.2m0.4/",0
"188",0.1,"trig",0.1,"P2","scatter",0.07,0.07,95,"img/trig/scatter/s0.1m0.1/",0
"189",0.05,"line",0.1,"P2","area",-0.01,0.01,96,"img/line/area/s0.05m0.1/",0
"190",0.15,"trig",-0.2,"P2","line",-0.02,0.02,97,"img/trig/line/s0.15m-0.2/",0
"191",0.2,"quad",0.2,"P2","line",0.14,0.14,98,"img/quad/line/s0.2m0.2/",0
"192",0.2,"line",-0.4,"P2","scatter",0.05,0.05,99,"img/line/scatter/s0.2m-0.4/",0
"193",0.05,"line",-0.8,"P3","line",-0.01,0.01,0,"img/line/line/s0.05m-0.8/",0
"194",0.05,"quad",0.2,"P3","area",0,0,1,"img/quad/area/s0.05m0.2/",0
"195",0.1,"trig",-0.1,"P3","area",-0.02,0.02,2,"img/trig/area/s0.1m-0.1/",0
"196",0.05,"quad",-0.1,"P3","area",0.04,0.04,3,"img/quad/area/s0.05m-0.1/",0
"197",0.1,"line",0.1,"P3","line",-0.01,0.01,4,"img/line/line/s0.1m0.1/",0
"198",0.15,"trig",0.2,"P3","scatter",-0.08,0.08,5,"img/trig/scatter/s0.15m0.2/",0
"199",0.2,"line",-0.1,"P3","area",-0.04,0.04,6,"img/line/area/s0.2m-0.1/",0
"200",0.2,"quad",0.2,"P3","scatter",0,0,7,"img/quad/scatter/s0.2m0.2/",0
"201",0.05,"trig",0.1,"P3","scatter",0.01,0.01,8,"img/trig/scatter/s0.05m0.1/",0
"202",0.05,"quad",-0.1,"P3","line",-0.02,0.02,9,"img/quad/line/s0.05m-0.1/",0
"203",0.05,"line",0.1,"P3","line",-0.01,0.01,10,"img/line/line/s0.05m0.1/",0
"204",0.15,"trig",0.4,"P3","scatter",0.04,0.04,11,"img/trig/scatter/s0.15m0.4/",0
"205",0.2,"line",-0.1,"P3","line",0.03,0.03,12,"img/line/line/s0.2m-0.1/",0
"206",0.1,"quad",0.1,"P3","area",-0.04,0.04,13,"img/quad/area/s0.1m0.1/",0
"207",0.1,"trig",-0.2,"P3","area",0.05,0.05,14,"img/trig/area/s0.1m-0.2/",0
"208",0.2,"quad",-0.4,"P3","line",0.16,0.16,15,"img/quad/line/s0.2m-0.4/",0
"209",0.2,"line",-0.2,"P3","line",-0.04,0.04,16,"img/line/line/s0.2m-0.2/",0
"210",0.05,"trig",0.2,"P3","scatter",-0.02,0.02,17,"img/trig/scatter/s0.05m0.2/",0
"211",0.1,"line",-0.1,"P3","line",0.05,0.05,18,"img/line/line/s0.1m-0.1/",0
"212",0.05,"line",-0.2,"P3","area",0,0,19,"img_validation/line/area/s0.05m-0.2/",1
"213",0.1,"quad",0.2,"P3","scatter",0,0,20,"img/quad/scatter/s0.1m0.2/",0
"214",0.2,"trig",-0.8,"P3","scatter",0.18,0.18,21,"img/trig/scatter/s0.2m-0.8/",0
"215",0.15,"quad",-0.8,"P3","line",0.08,0.08,22,"img/quad/line/s0.15m-0.8/",0
"216",0.05,"line",0.8,"P3","scatter",0,0,23,"img/line/scatter/s0.05m0.8/",0
"217",0.05,"trig",-0.8,"P3","area",-0.03,0.03,24,"img/trig/area/s0.05m-0.8/",0
"218",0.15,"line",-0.8,"P3","area",0.01,0.01,25,"img/line/area/s0.15m-0.8/",0
"219",0.1,"quad",0.8,"P3","scatter",0.05,0.05,26,"img/quad/scatter/s0.1m0.8/",0
"220",0.05,"trig",0.8,"P3","line",0.02,0.02,27,"img/trig/line/s0.05m0.8/",0
"221",0.1,"quad",0.2,"P3","area",-0.05,0.05,28,"img/quad/area/s0.1m0.2/",0
"222",0.2,"line",-0.8,"P3","area",-0.07,0.07,29,"img/line/area/s0.2m-0.8/",0
"223",0.1,"trig",0.8,"P3","area",0.07,0.07,30,"img/trig/area/s0.1m0.8/",0
"224",0.1,"line",-0.2,"P3","line",0.16,0.16,31,"img/line/line/s0.1m-0.2/",0
"225",0.15,"quad",-0.1,"P3","area",0.06,0.06,32,"img/quad/area/s0.15m-0.1/",0
"226",0.2,"trig",0.4,"P3","scatter",-0.01,0.01,33,"img/trig/scatter/s0.2m0.4/",0
"227",0.05,"quad",0.2,"P3","line",-0.04,0.04,34,"img/quad/line/s0.05m0.2/",0
"228",0.15,"line",-0.4,"P3","area",0.16,0.16,35,"img/line/area/s0.15m-0.4/",0
"229",0.1,"trig",0.4,"P3","area",0.01,0.01,36,"img/trig/area/s0.1m0.4/",0
"230",0.1,"line",0.4,"P3","line",-0.02,0.02,37,"img/line/line/s0.1m0.4/",0
"231",0.05,"line",-0.2,"P3","area",0,0,38,"img_validation/line/area/s0.05m-0.2/",1
"232",0.15,"quad",-0.8,"P3","scatter",0.05,0.05,39,"img/quad/scatter/s0.15m-0.8/",0
"233",0.05,"trig",-0.4,"P3","scatter",0,0,40,"img/trig/scatter/s0.05m-0.4/",0
"234",0.2,"quad",-0.2,"P3","area",0.06,0.06,41,"img/quad/area/s0.2m-0.2/",0
"235",0.2,"line",0.8,"P3","scatter",0.05,0.05,42,"img/line/scatter/s0.2m0.8/",0
"236",0.15,"trig",0.2,"P3","area",0.01,0.01,43,"img/trig/area/s0.15m0.2/",0
"237",0.2,"line",0.4,"P3","line",0,0,44,"img/line/line/s0.2m0.4/",0
"238",0.15,"quad",0.1,"P3","line",0,0,45,"img/quad/line/s0.15m0.1/",0
"239",0.2,"trig",0.8,"P3","line",0.04,0.04,46,"img/trig/line/s0.2m0.8/",0
"240",0.15,"quad",0.4,"P3","line",-0.05,0.05,47,"img/quad/line/s0.15m0.4/",0
"241",0.05,"line",-0.8,"P3","scatter",0.05,0.05,48,"img/line/scatter/s0.05m-0.8/",0
"242",0.05,"trig",-0.4,"P3","area",-0.02,0.02,49,"img/trig/area/s0.05m-0.4/",0
"243",0.1,"line",-0.2,"P3","scatter",0.03,0.03,50,"img/line/scatter/s0.1m-0.2/",0
"244",0.15,"quad",0.8,"P3","area",0.08,0.08,51,"img/quad/area/s0.15m0.8/",0
"245",0.2,"trig",0.1,"P3","line",-0.06,0.06,52,"img/trig/line/s0.2m0.1/",0
"246",0.1,"quad",-0.8,"P3","scatter",0.01,0.01,53,"img/quad/scatter/s0.1m-0.8/",0
"247",0.2,"line",-0.8,"P3","line",0.14,0.14,54,"img/line/line/s0.2m-0.8/",0
"248",0.2,"trig",0.1,"P3","area",0.04,0.04,55,"img/trig/area/s0.2m0.1/",0
"249",0.05,"line",-0.2,"P3","area",0.01,0.01,56,"img/line/area/s0.05m-0.2/",0
"250",0.05,"line",-0.2,"P3","area",0,0,57,"img_validation/line/area/s0.05m-0.2/",1
"251",0.2,"quad",-0.2,"P3","scatter",0.02,0.02,58,"img/quad/scatter/s0.2m-0.2/",0
"252",0.1,"trig",-0.4,"P3","scatter",-0.03,0.03,59,"img/trig/scatter/s0.1m-0.4/",0
"253",0.2,"quad",0.8,"P3","area",0.03,0.03,60,"img/quad/area/s0.2m0.8/",0
"254",0.15,"line",-0.2,"P3","scatter",0.06,0.06,61,"img/line/scatter/s0.15m-0.2/",0
"255",0.1,"trig",-0.8,"P3","line",-0.05,0.05,62,"img/trig/line/s0.1m-0.8/",0
"256",0.1,"line",0.2,"P3","line",0.03,0.03,63,"img/line/line/s0.1m0.2/",0
"257",0.1,"quad",-0.8,"P3","area",0.02,0.02,64,"img/quad/area/s0.1m-0.8/",0
"258",0.05,"trig",-0.4,"P3","line",0,0,65,"img/trig/line/s0.05m-0.4/",0
"259",0.05,"quad",-0.1,"P3","scatter",0.01,0.01,66,"img/quad/scatter/s0.05m-0.1/",0
"260",0.1,"line",-0.1,"P3","scatter",0.01,0.01,67,"img/line/scatter/s0.1m-0.1/",0
"261",0.15,"trig",0.2,"P3","line",0.07,0.07,68,"img/trig/line/s0.15m0.2/",0
"262",0.05,"line",0.4,"P3","area",0.01,0.01,69,"img/line/area/s0.05m0.4/",0
"263",0.15,"quad",0.8,"P3","scatter",-0.06,0.06,70,"img/quad/scatter/s0.15m0.8/",0
